,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power
241,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,140.0,45.0,25.199999999999996,92.3524875,92.9536483931947,67.37316594859853,26.711833156499694,61.568324999999994,9.08607,24023.84775,63,64,52,56,26,26,3276,3584,0.0366912,0.0401408,926.2399999999999,2820.5,9.08607,61.568324999999994,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
232,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,145.0,40.0,25.199999999999996,92.3524875,92.9536483931947,65.44835623057239,26.79425184865264,61.568324999999994,9.08607,24023.84775,63,64,52,56,27,27,3276,3584,0.0366912,0.0401408,959.3199999999998,2810.0,9.08607,61.568324999999994,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
219,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,150.0,35.0,25.199999999999996,92.3524875,92.9536483931947,63.64104955945213,26.87723481979219,61.568324999999994,9.08607,24023.84775,63,64,52,56,28,28,3276,3584,0.0366912,0.0401408,992.3999999999999,2799.5,9.08607,61.568324999999994,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
619,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,135.0,45.0,25.199999999999996,93.96972,90.20297920604915,66.89225571765665,27.37855568211894,62.64648,8.8171965,24037.956675,60,61,53,57,25,25,3180,3477,0.035616,0.038942399999999995,906.6599999999999,2785.5,8.8171965,62.64648,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
612,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,140.0,40.0,25.199999999999996,93.96972,90.20297920604915,64.9127153864994,27.472274230450562,62.64648,8.8171965,24037.956675,60,61,53,57,26,26,3180,3477,0.035616,0.038942399999999995,940.2399999999999,2774.0,8.8171965,62.64648,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
601,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,145.0,35.0,25.199999999999996,93.96972,90.20297920604915,63.05819922060149,27.56670491803732,62.64648,8.8171965,24037.956675,60,61,53,57,27,27,3180,3477,0.035616,0.038942399999999995,973.8199999999998,2762.5,8.8171965,62.64648,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
584,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,150.0,30.0,25.199999999999996,93.96972,90.20297920604915,61.316894920784904,27.6618561547018,62.64648,8.8171965,24037.956675,60,61,53,57,28,28,3180,3477,0.035616,0.038942399999999995,1007.3999999999999,2751.0,8.8171965,62.64648,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
1353,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,120.0,120.0,35.0,25.199999999999996,97.37442,84.11898676748581,67.12762505494652,28.495690342198284,64.91628,8.222495999999998,24040.441199999997,53,54,56,60,22,22,2968,3240,0.033241599999999996,0.036288,841.9199999999998,2750.0,8.222495999999998,64.91628,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
1340,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,120.0,125.0,30.0,25.199999999999996,97.37442,84.11898676748581,64.90188653052127,28.60744062191755,64.91628,8.222495999999998,24040.441199999997,53,54,56,60,23,23,2968,3240,0.033241599999999996,0.036288,876.9999999999999,2737.0,8.222495999999998,64.91628,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
832,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,140.0,30.0,25.199999999999996,94.78684799999999,88.80731947069943,63.304414869899695,27.98649661762621,63.191232,8.680772999999999,24044.542349999996,58,59,54,58,26,26,3132,3422,0.035078399999999996,0.0383264,954.2399999999999,2736.0,8.680772999999999,63.191232,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
